author,bornloc,borndate
"J.K. Rowling
    ","in Yate, South Gloucestershire, England, The United Kingdom","July 31, 1965"
"Albert Einstein
    ","in Ulm, Germany","March 14, 1879"
"Marilyn Monroe
    ",in The United States,"June 01, 1926"
"André Gide
    ","in Paris, France","November 22, 1869"
"Friedrich Nietzsche
    ","in Röcken bei Lützen, Prussian Province of Saxony, Germany","October 15, 1844"
"Douglas Adams
    ","in Cambridge, England, The United Kingdom","March 11, 1952"
"Steve Martin
    ","in Waco, Texas, The United States","August 14, 1945"
"Bob Marley
    ","in Nine Mile, Saint Ann, Jamaica","February 06, 1945"
"Dr. Seuss
    ","in Springfield, MA, The United States","March 02, 1904"
"Jim Henson
    ","in Greenville, Mississippi, The United States","September 24, 1936"
"Mother Teresa
    ","in Skopje, Macedonia, the Former Yugoslav Republic of","August 26, 1910"
"Ralph Waldo Emerson
    ","in Boston, Massachusetts, The United States","May 25, 1803"
"Garrison Keillor
    ","in Anoka, Minnesota, The United States","August 07, 1942"
"Pablo Neruda
    ","in Parral, Chile","July 12, 1904"
"George Eliot
    ","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom","November 22, 1819"
"Jorge Luis Borges
    ","in Buenos Aires, Argentina","August 24, 1899"
"William Nicholson
    ","in Lewes, Sussex, The United Kingdom","January 12, 1948"
"Charles M. Schulz
    ","in Minneapolis, MN, The United States","November 26, 1922"
"George R.R. Martin
    ","in Bayonne, New Jersey, The United States","September 20, 1948"
"James Baldwin
    ","in Harlem, New York, The United States","August 02, 1924"
"Martin Luther King Jr.
    ","in Atlanta, Georgia, The United States","January 15, 1929"
"C.S. Lewis
    ","in Belfast, Ireland","November 29, 1898"
"George Bernard Shaw
    ","in Dublin, Ireland","July 26, 1856"
"Helen Keller
    ","in Tuscumbia, Alabama, The United States","June 27, 1880"
"Ernest Hemingway
    ","in Oak Park, Illinois, The United States","July 21, 1899"
"Stephenie Meyer
    ","in Connecticut, The United States","December 24, 1973"
"Alexandre Dumas-fils
    ","in Paris, France","July 27, 1824"
"Haruki Murakami
    ","in Kyoto, Japan","January 12, 1949"
"Charles Bukowski
    ","in Andernach, Germany","August 16, 1920"
"J.R.R. Tolkien
    ","in Bloemfontein, Mangaung, Free State, South Africa","January 03, 1892"
"Suzanne Collins
    ","in Hartford, Connecticut, The United States","August 11, 1962"
"Terry Pratchett
    ","in Beaconsfield, Buckinghamshire, England, The United Kingdom","April 28, 1948"
"Alfred Tennyson
    ","in Somersby, Lincolnshire, The United Kingdom","August 06, 1809"
"W.C. Fields
    ","in Darby, Pennsylvania, The United States","January 29, 1880"
"Ayn Rand
    ","in St. Petersburg, Russian Federation","February 02, 1905"
"George Carlin
    ","in New York, New York, The United States","May 12, 1937"
"John Lennon
    ","in Liverpool, England, The United Kingdom","October 09, 1940"
"J.D. Salinger
    ","in Manhattan, New York, The United States","January 01, 1919"
"Madeleine L'Engle
    ","in New York City, New York, The United States","November 29, 1918"
"Harper Lee
    ","in Monroeville, Alabama, The United States","April 28, 1926"
"Khaled Hosseini
    ","in Kabul, Afghanistan","March 04, 1965"
"E.E. Cummings
    ","in Cambridge, Massachusetts, The United States","October 14, 1894"
"Jimi Hendrix
    ","in Seattle, Washington, The United States","November 27, 1942"
"J.M. Barrie
    ","in Kirriemuir, Angus, Scotland, The United Kingdom","May 09, 1860"
"Elie Wiesel
    ","in Sighet, Romania","September 30, 1928"
"Jane Austen
    ","in Steventon Rectory, Hampshire, The United Kingdom","December 16, 1775"
"Thomas A. Edison
    ","in Milan, Ohio, The United States","February 11, 1847"
"Allen Saunders
    ",in The United States,"April 24, 1899"
"Eleanor Roosevelt
    ",in The United States,"October 11, 1884"
"Mark Twain
    ","in Florida, Missouri, The United States","November 30, 1835"
