borndate,bornloc
"March 14, 1879","in Ulm, Germany"
"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
"December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
"November 22, 1869","in Paris, France"
"October 11, 1884",in The United States
"August 14, 1945","in Waco, Texas, The United States"
"June 01, 1926",in The United States
"February 11, 1847","in Milan, Ohio, The United States"
"April 24, 1899",in The United States
"November 30, 1835","in Florida, Missouri, The United States"
"October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany"
"March 11, 1952","in Cambridge, England, The United Kingdom"
"September 30, 1928","in Sighet, Romania"
"March 02, 1904","in Springfield, MA, The United States"
"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
"September 24, 1936","in Greenville, Mississippi, The United States"
"August 07, 1942","in Anoka, Minnesota, The United States"
"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
"May 25, 1803","in Boston, Massachusetts, The United States"
"July 12, 1904","in Parral, Chile"
"November 26, 1922","in Minneapolis, MN, The United States"
"August 24, 1899","in Buenos Aires, Argentina"
"January 12, 1948","in Lewes, Sussex, The United Kingdom"
"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
"September 20, 1948","in Bayonne, New Jersey, The United States"
"August 02, 1924","in Harlem, New York, The United States"
"November 29, 1898","in Belfast, Ireland"
"June 27, 1880","in Tuscumbia, Alabama, The United States"
"July 21, 1899","in Oak Park, Illinois, The United States"
"July 26, 1856","in Dublin, Ireland"
"January 15, 1929","in Atlanta, Georgia, The United States"
"January 12, 1949","in Kyoto, Japan"
"December 24, 1973","in Connecticut, The United States"
"July 27, 1824","in Paris, France"
"August 11, 1962","in Hartford, Connecticut, The United States"
"January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa"
"August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
"January 29, 1880","in Darby, Pennsylvania, The United States"
"February 02, 1905","in St. Petersburg, Russian Federation"
"May 12, 1937","in New York, New York, The United States"
"October 09, 1940","in Liverpool, England, The United Kingdom"
"January 01, 1919","in Manhattan, New York, The United States"
"August 16, 1920","in Andernach, Germany"
"May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
"November 29, 1918","in New York City, New York, The United States"
"April 28, 1926","in Monroeville, Alabama, The United States"
"October 14, 1894","in Cambridge, Massachusetts, The United States"
"November 27, 1942","in Seattle, Washington, The United States"
"April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
"March 04, 1965","in Kabul, Afghanistan"
